===== batch learning =====
[112] error:3.000000, param:[47.247321 -19.586460], count: 1
[113] error:2.999984, param:[12.507157 -33.651978], count: 1
[114] error:2.999971, param:[-1.114022 -10.456347], count: 1
[115] error:3.000000, param:[-7.865095 -22.859653], count: 1
[116] error:3.000000, param:[-29.982975 -36.045477], count: 1
[117] error:2.999956, param:[-6.037193 20.254756], count: 1
[118] error:3.000000, param:[4.850030 -37.857436], count: 1
[119] error:2.999054, param:[1.659003 6.533765], count: 1
[120] error:2.999758, param:[19.133409 -14.166119], count: 1
[121] error:3.000000, param:[-49.389439 -42.793182], count: 1
[122] error:3.000000, param:[48.999623 10.056891], count: 1
[123] error:3.000000, param:[2.994633 43.906076], count: 1
[124] error:3.000000, param:[-21.760424 -12.958254], count: 1
[125] error:3.000000, param:[-45.434015 -19.792118], count: 1
[126] error:3.000000, param:[30.991775 23.619486], count: 1
[127] error:3.000000, param:[-27.678999 -48.053246], count: 1
[128] error:3.000356, param:[-20.607743 39.072491], count: 1
[129] error:3.000000, param:[47.960344 3.043451], count: 1
[130] count is over 100000. give up.
[131] error:3.000000, param:[2.740596 -34.951314], count: 1
[132] error:2.999964, param:[-12.358368 6.695074], count: 1
[133] error:3.000000, param:[2.777540 40.788413], count: 1
[134] error:3.000000, param:[-1.686040 -24.663875], count: 1
[135] error:2.998344, param:[-15.009377 28.833770], count: 6257
[136] error:3.000000, param:[-17.188900 9.227035], count: 1
[137] error:3.000000, param:[17.857612 16.038367], count: 1
[138] count is over 100000. give up.
[139] error:2.999972, param:[22.097495 -15.646285], count: 1
[140] error:3.000000, param:[-34.268453 -45.521452], count: 1
[141] error:0.734935, param:[10.850101 -15.996083], count: 1245
[142] error:3.000000, param:[-43.547912 -0.187754], count: 1
[143] error:2.996851, param:[-13.518667 14.074255], count: 8889
[144] error:3.000000, param:[-48.373456 -11.075628], count: 1
[145] error:3.000000, param:[32.376134 24.193347], count: 1
[146] error:3.000000, param:[7.159294 -49.258171], count: 1
[147] error:2.999999, param:[-5.278148 -7.387320], count: 1
[148] error:3.000000, param:[-26.597966 -8.170762], count: 1
[149] error:3.000000, param:[-35.196789 34.226763], count: 1
[150] error:3.000000, param:[5.966413 40.181539], count: 1
[151] error:3.000000, param:[23.592740 35.192266], count: 1
[152] error:3.000000, param:[-29.670785 20.917406], count: 1
[153] error:3.000000, param:[-28.625953 20.548498], count: 1
[154] error:2.999561, param:[2.212080 6.568537], count: 1
[155] count is over 100000. give up.
[156] error:3.000000, param:[5.967276 -33.760723], count: 1
[157] count is over 100000. give up.
[158] error:3.000000, param:[-21.789891 -7.372435], count: 1
[159] error:3.000000, param:[-48.332299 -31.963527], count: 1
[160] error:3.000000, param:[-26.142851 -18.935412], count: 1
[161] error:3.000000, param:[38.341032 41.092924], count: 1
[162] error:3.000000, param:[-15.966339 -35.686780], count: 1
[163] error:3.000000, param:[-26.396617 3.007843], count: 1
[164] error:3.000000, param:[-7.491671 -25.581623], count: 1
[165] error:2.999795, param:[-0.399867 10.823184], count: 1
[166] error:3.000000, param:[-6.472309 -7.180909], count: 1
[167] count is over 100000. give up.
[168] error:3.000000, param:[-1.406358 28.727720], count: 1
[169] error:2.993364, param:[-12.245963 23.537493], count: 5921
[170] count is over 100000. give up.
[171] error:3.000000, param:[-12.265950 -10.151256], count: 1
[172] count is over 100000. give up.
[173] error:3.000000, param:[-49.280468 3.370359], count: 1
[174] error:3.000000, param:[-43.647013 0.441329], count: 1
[175] error:3.000000, param:[-46.957523 -49.497392], count: 1
[176] error:3.000000, param:[3.311330 34.121392], count: 1
[177] error:0.744420, param:[13.303101 -19.637682], count: 97162
[178] error:3.000000, param:[-48.042293 -30.411426], count: 1
[179] error:3.000000, param:[-20.904193 9.924865], count: 1
[180] count is over 100000. give up.
[181] error:3.000000, param:[32.758578 21.516726], count: 1
[182] error:3.000000, param:[-30.954563 2.151833], count: 1
[183] error:3.000000, param:[-28.506946 7.385709], count: 1
[184] error:3.000000, param:[-26.745860 -21.558069], count: 1
[185] error:3.000000, param:[36.115519 -17.801686], count: 1
[186] error:0.946163, param:[33.347261 -49.218700], count: 19256
[187] error:3.000000, param:[-12.399945 40.455473], count: 1
[188] error:3.000000, param:[47.454049 8.292230], count: 1
[189] error:2.998244, param:[-14.382415 15.019728], count: 10121
[190] error:3.000000, param:[-33.418283 -15.976487], count: 1
[191] error:2.999813, param:[18.415186 -13.022496], count: 1
[192] count is over 100000. give up.
[193] error:3.000000, param:[-28.965818 -12.665047], count: 1
[194] error:3.000000, param:[24.620287 -1.929412], count: 1
[195] error:3.000000, param:[-34.614968 26.574195], count: 1
[196] error:3.000000, param:[-32.381665 -46.548063], count: 1
[197] error:3.000000, param:[-44.687420 -10.601076], count: 1
[198] error:3.000000, param:[33.110219 34.642979], count: 1
[199] error:2.999759, param:[44.975086 -45.528832], count: 1
[200] error:3.000000, param:[-3.054620 33.518188], count: 1
[201] error:3.000000, param:[16.621301 -1.604523], count: 1
[202] error:3.000000, param:[-9.373638 -16.324458], count: 1
[203] error:3.000000, param:[24.166748 39.801811], count: 1
[204] error:3.000000, param:[-40.781812 -46.534082], count: 1
[205] error:3.000000, param:[31.157295 -13.743685], count: 1
[206] error:3.000000, param:[32.431593 -18.845851], count: 1
[207] error:3.000000, param:[23.538920 -3.651157], count: 1
[208] error:3.000000, param:[40.597864 45.499788], count: 1
[209] error:3.000000, param:[-43.421517 -44.348139], count: 1
[210] error:3.000000, param:[48.860248 8.355754], count: 1
[211] error:2.999990, param:[-2.437537 16.625546], count: 1
[212] error:3.001495, param:[-28.128736 30.944882], count: 18522
[213] error:3.000000, param:[-19.233383 -15.688203], count: 1
[214] error:3.000000, param:[-44.824378 2.632820], count: 1
[215] error:3.000000, param:[-9.962910 34.336454], count: 1
[216] error:3.000000, param:[-27.132102 -23.850457], count: 1
[217] error:3.000000, param:[2.807205 34.382858], count: 1
[218] error:0.944932, param:[33.158637 -48.935871], count: 18866
