===== batch learning =====
[110] error:3.000000, param:[-1.437848 -18.176196], count: 1
[111] error:2.999996, param:[-13.068549 32.938674], count: 1
[112] error:3.000000, param:[-8.267394 -38.299154], count: 1
[113] error:3.000000, param:[27.310992 18.349363], count: 1
[114] error:0.734927, param:[11.109102 -16.386852], count: 6745
[115] error:0.734927, param:[11.108956 -16.386635], count: 6861
[116] error:3.000000, param:[-25.121574 -14.287770], count: 1
[117] error:3.000000, param:[29.674660 -17.899950], count: 1
[118] error:3.000000, param:[31.909908 36.539811], count: 1
[119] error:3.000000, param:[41.610112 -12.770650], count: 1
[120] error:3.000000, param:[-33.011361 22.044770], count: 1
[121] error:3.000000, param:[41.771549 21.591694], count: 1
[122] error:3.000000, param:[27.433205 40.944074], count: 1
[123] error:3.000075, param:[-28.135600 29.647394], count: 953
[124] error:2.999374, param:[-17.389005 33.792942], count: 380
[125] error:3.000000, param:[-37.965955 3.464027], count: 1
[126] error:3.000000, param:[-49.007296 -9.123525], count: 1
[127] error:3.000000, param:[-13.170635 46.181440], count: 1
[128] error:3.000000, param:[49.248993 5.759955], count: 1
[129] error:2.999991, param:[8.704821 -27.723687], count: 1
[130] error:0.734925, param:[10.851336 -16.004832], count: 2539
[131] error:0.734925, param:[10.851356 -16.004863], count: 2303
[132] error:3.000000, param:[-1.776283 32.781008], count: 1
[133] error:3.000000, param:[-32.583618 -21.611318], count: 1
[134] error:3.000000, param:[-9.132048 -14.290971], count: 1
[135] error:2.999975, param:[47.053534 -45.757939], count: 1
[136] error:3.000000, param:[-12.715673 34.730843], count: 1
[137] error:3.000000, param:[-42.075648 15.947571], count: 1
[138] error:3.000000, param:[-36.337962 -4.144765], count: 1
[139] error:3.000000, param:[26.747968 1.530335], count: 1
[140] error:3.000000, param:[-48.096895 -29.303641], count: 1
[141] error:0.734927, param:[11.109019 -16.386729], count: 4099
[142] error:0.734927, param:[11.109036 -16.386754], count: 4183
[143] error:3.000000, param:[19.611809 13.676975], count: 1
[144] error:3.000000, param:[35.437237 1.682851], count: 1
[145] error:3.000000, param:[-46.977848 -29.914258], count: 1
[146] error:3.000098, param:[-36.465764 39.540696], count: 1062
[147] error:0.734925, param:[10.851360 -16.004869], count: 2487
[148] error:0.734927, param:[11.109045 -16.386768], count: 3379
[149] error:3.000000, param:[-45.679146 -47.466229], count: 1
[150] error:2.999933, param:[-21.924206 43.424681], count: 1
[151] error:3.000000, param:[41.858454 -22.367696], count: 1
[152] error:3.000000, param:[12.423737 15.283961], count: 1
[153] error:3.000000, param:[-6.583924 -19.855349], count: 1
[154] error:3.000000, param:[40.712901 18.014287], count: 1
[155] error:0.734925, param:[10.851359 -16.004866], count: 2818
[156] error:3.000000, param:[-38.393242 38.693699], count: 1
[157] error:3.000000, param:[-44.926331 -44.363100], count: 1
[158] error:2.999998, param:[0.576455 -15.804088], count: 1
[159] error:3.000000, param:[-33.260691 26.160644], count: 1
[160] error:3.000000, param:[20.457030 -6.757527], count: 1
[161] error:3.000000, param:[-10.621614 42.825563], count: 1
