===== batch learning =====
[110] error:3.000000, param:[38.998664 46.694360], count: 1
[111] error:3.000000, param:[17.203850 4.104678], count: 1
[112] error:3.000000, param:[3.438820 -30.437563], count: 1
[113] error:0.735287, param:[11.412133 -16.835978], count: 67217
[114] error:3.000000, param:[47.131005 23.680206], count: 1
[115] error:3.000000, param:[-24.137023 14.635943], count: 1
[116] error:3.000000, param:[34.216633 23.910296], count: 1
[117] error:0.735286, param:[11.412107 -16.835940], count: 14175
[118] error:3.000311, param:[-32.849000 35.792612], count: 3498
[119] error:0.735287, param:[11.412131 -16.835974], count: 22463
[120] error:2.999999, param:[28.864112 -20.478681], count: 1
[121] error:0.735287, param:[11.412139 -16.835987], count: 28870
[122] error:3.000000, param:[-33.869751 -12.695718], count: 1
[123] error:3.000000, param:[-37.974252 -20.076685], count: 1
[124] error:3.000000, param:[-30.707109 10.586202], count: 1
[125] error:3.000000, param:[-6.896225 47.362398], count: 1
[126] error:0.735228, param:[10.592215 -15.620821], count: 20273
[127] error:3.000000, param:[0.847523 -41.792368], count: 1
[128] error:3.000000, param:[-39.689862 24.707233], count: 1
[129] error:3.000000, param:[-35.257490 -40.608261], count: 1
[130] error:3.000000, param:[29.691092 23.925308], count: 1
[131] error:3.000000, param:[4.849031 46.696261], count: 1
[132] error:3.000000, param:[-14.020946 -3.895397], count: 1
[133] error:3.000000, param:[25.561282 20.006266], count: 1
[134] error:0.735286, param:[11.412103 -16.835933], count: 24956
[135] error:3.000000, param:[-0.261509 -47.373644], count: 1
[136] error:3.000000, param:[-44.577725 -28.098112], count: 1
[137] error:3.000000, param:[-10.095028 49.321992], count: 1
[138] error:3.000000, param:[26.049113 33.052182], count: 1
[139] error:3.000000, param:[31.491567 -22.141480], count: 1
[140] error:2.999998, param:[22.155916 -13.066454], count: 1
[141] error:3.000000, param:[27.350248 -11.574599], count: 1
[142] error:3.000000, param:[-3.162178 33.609825], count: 1
[143] error:3.000000, param:[-16.464507 6.607314], count: 1
[144] error:0.735228, param:[10.592179 -15.620768], count: 46324
[145] error:3.000000, param:[44.171136 -37.722560], count: 1
[146] error:3.000000, param:[-18.199955 -6.773317], count: 1
[147] error:0.735228, param:[10.592182 -15.620772], count: 15941
[148] error:0.735228, param:[10.592197 -15.620795], count: 16511
[149] error:3.000000, param:[36.174232 -6.576869], count: 1
[150] error:3.000000, param:[-5.899177 -16.668317], count: 1
[151] error:2.999999, param:[-1.920401 18.867284], count: 1
[152] error:2.999935, param:[47.579995 -47.351360], count: 1
[153] error:3.000031, param:[-21.798244 41.685573], count: 2180
[154] error:3.000000, param:[19.387684 26.140587], count: 1
[155] error:3.000000, param:[40.707980 -14.601060], count: 1
